"City","Cidade"
"Country","País"
"Coupon Code","Código Cupom"
"Custom Position","Posição Personalizada"
"Display City Field","Mostra campo cidade"
"Display Country Dropdown","Mostrar Campo País"
"Display Coupon Code Field","Display Coupon Code Field"
"Display In","Display In"
"Display Include Cart Items Field","Display Include Cart Items Field"
"Display Region Field","Display Region Field"
"Display Zip/Postal Code Field","Display Zip/Postal Code Field"
"Enable Product Page Shipping","Enable Product Page Shipping"
"Enter your destination to get a shipping estimate.","Enter your destination to get a shipping estimate."
"Estimate Shipping","Prazo de Entrega"
"Get a Quote","Calcular"
"Incl. Tax","Incl. Tax"
"Include Cart Items","Incluír itens no carrinho"
"Include Cart Items by Default","Inclír itens no carrinho por padrão"
"Left Column","Left Column"
"Loading rates...","Calculando..."
"No","Não"
"Please select an option","Please select an option"
"Please specify a country","Please specify a country"
"Please specify a valid product","Please specify a valid product"
"Position of the block depends on your theme layout","Position of the block depends on your theme layout"
"Product Page Shipping","Product Page Shipping"
"Product Page Shipping Settings","Product Page Shipping Settings"
"Right Column","Right Column"
"Shipping Rates","Shipping Rates"
"State/Province","Estado"
"There was an error during processing your shipping request","Correios não responder a solicitação"
"Yes","Sim"
"Zip/Postal Code","CEP"
