"City","City"
"Country","Country"
"Coupon Code","Coupon Code"
"Custom Position","Custom Position"
"Display City Field","Display City Field"
"Display Country Dropdown","Display Country Dropdown"
"Display Coupon Code Field","Display Coupon Code Field"
"Display In","Display In"
"Display Include Cart Items Field","Display Include Cart Items Field"
"Display Region Field","Display Region Field"
"Display Zip/Postal Code Field","Display Zip/Postal Code Field"
"Enable Product Page Shipping","Enable Product Page Shipping"
"Enter your destination to get a shipping estimate.","Digite seu CEP."
"Estimate Shipping","Prazo de Entrega"
"Get a Quote","Calcular"
"Incl. Tax","Incl. Tax"
"Include Cart Items","Include Cart Items"
"Include Cart Items by Default","Include Cart Items by Default"
"Left Column","Left Column"
"Loading rates...","Buscando..."
"No","No"
"Please select an option","Por favor, escolha uma opção."
"Please specify a country","Please specify a country"
"Please specify a valid product","Please specify a valid product"
"Position of the block depends on your theme layout","Position of the block depends on your theme layout"
"Product Page Shipping","Product Page Shipping"
"Product Page Shipping Settings","Product Page Shipping Settings"
"Right Column","Right Column"
"Shipping Rates","FRETE"
"State/Province","Estado"
"There was an error during processing your shipping request","Ops, Correios não respondeu :/. "
"Yes","Sim"
"Zip/Postal Code","CEP"
